Team,Opponent,Gameweek,Goals_Scored
Arsenal,Wolves,Matchweek 1,2
Arsenal,Chelsea,Matchweek 11,1
Arsenal,Nott'ham Forest,Matchweek 12,3
Arsenal,West Ham,Matchweek 13,5
Arsenal,Manchester Utd,Matchweek 14,2
Arsenal,Fulham,Matchweek 15,1
Arsenal,Crystal Palace,Matchweek 17,5
Arsenal,Ipswich Town,Matchweek 18,1
Arsenal,Brentford,Matchweek 19,3
Arsenal,Aston Villa,Matchweek 2,2
Arsenal,Brighton,Matchweek 20,1
Arsenal,Tottenham,Matchweek 21,2
Arsenal,Aston Villa,Matchweek 22,2
Arsenal,Wolves,Matchweek 23,1
Arsenal,Manchester City,Matchweek 24,5
Arsenal,Leicester City,Matchweek 25,2
Arsenal,Manchester Utd,Matchweek 28,1
Arsenal,Chelsea,Matchweek 29,1
Arsenal,Brighton,Matchweek 3,1
Arsenal,Fulham,Matchweek 30,2
Arsenal,Everton,Matchweek 31,1
Arsenal,Brentford,Matchweek 32,1
Arsenal,Ipswich Town,Matchweek 33,4
Arsenal,Crystal Palace,Matchweek 34,2
Arsenal,Bournemouth,Matchweek 35,1
Arsenal,Liverpool,Matchweek 36,2
Arsenal,Newcastle Utd,Matchweek 37,1
Arsenal,Southampton,Matchweek 38,2
Arsenal,Tottenham,Matchweek 4,1
Arsenal,Manchester City,Matchweek 5,2
Arsenal,Leicester City,Matchweek 6,4
Arsenal,Southampton,Matchweek 7,3
Arsenal,Liverpool,Matchweek 9,2
Aston Villa,West Ham,Matchweek 1,2
Aston Villa,Tottenham,Matchweek 10,1
Aston Villa,Crystal Palace,Matchweek 12,2
Aston Villa,Brentford,Matchweek 14,3
Aston Villa,Southampton,Matchweek 15,1
Aston Villa,Nott'ham Forest,Matchweek 16,1
Aston Villa,Manchester City,Matchweek 17,2
Aston Villa,Brighton,Matchweek 19,2
Aston Villa,Leicester City,Matchweek 20,2
Aston Villa,Everton,Matchweek 21,1
Aston Villa,Arsenal,Matchweek 22,2
Aston Villa,West Ham,Matchweek 23,1
Aston Villa,Ipswich Town,Matchweek 25,1
Aston Villa,Chelsea,Matchweek 26,2
Aston Villa,Crystal Palace,Matchweek 27,1
Aston Villa,Brentford,Matchweek 28,1
Aston Villa,Liverpool,Matchweek 29,2
Aston Villa,Leicester City,Matchweek 3,2
Aston Villa,Brighton,Matchweek 30,3
Aston Villa,Nott'ham Forest,Matchweek 31,2
Aston Villa,Southampton,Matchweek 32,3
Aston Villa,Newcastle Utd,Matchweek 33,4
Aston Villa,Manchester City,Matchweek 34,1
Aston Villa,Fulham,Matchweek 35,1
Aston Villa,Bournemouth,Matchweek 36,1
Aston Villa,Tottenham,Matchweek 37,2
Aston Villa,Everton,Matchweek 4,3
Aston Villa,Wolves,Matchweek 5,3
Aston Villa,Ipswich Town,Matchweek 6,2
Aston Villa,Fulham,Matchweek 8,3
Aston Villa,Bournemouth,Matchweek 9,1
Bournemouth,Nott'ham Forest,Matchweek 1,1
Bournemouth,Manchester City,Matchweek 10,2
Bournemouth,Brentford,Matchweek 11,2
Bournemouth,Brighton,Matchweek 12,1
Bournemouth,Wolves,Matchweek 13,4
Bournemouth,Tottenham,Matchweek 14,1
Bournemouth,Ipswich Town,Matchweek 15,2
Bournemouth,West Ham,Matchweek 16,1
Bournemouth,Manchester Utd,Matchweek 17,3
Bournemouth,Fulham,Matchweek 19,2
Bournemouth,Newcastle Utd,Matchweek 2,1
Bournemouth,Everton,Matchweek 20,1
Bournemouth,Chelsea,Matchweek 21,2
Bournemouth,Newcastle Utd,Matchweek 22,4
Bournemouth,Nott'ham Forest,Matchweek 23,5
Bournemouth,Southampton,Matchweek 25,3
Bournemouth,Brighton,Matchweek 27,1
Bournemouth,Tottenham,Matchweek 28,2
Bournemouth,Brentford,Matchweek 29,1
Bournemouth,Everton,Matchweek 3,3
Bournemouth,Ipswich Town,Matchweek 30,1
Bournemouth,West Ham,Matchweek 31,2
Bournemouth,Fulham,Matchweek 32,1
Bournemouth,Manchester Utd,Matchweek 34,1
Bournemouth,Arsenal,Matchweek 35,2
Bournemouth,Manchester City,Matchweek 37,1
Bournemouth,Leicester City,Matchweek 38,2
Bournemouth,Southampton,Matchweek 6,3
Bournemouth,Arsenal,Matchweek 8,2
Bournemouth,Aston Villa,Matchweek 9,1
Brentford,Crystal Palace,Matchweek 1,2
Brentford,Fulham,Matchweek 10,1
Brentford,Bournemouth,Matchweek 11,3
Brentford,Leicester City,Matchweek 13,4
Brentford,Aston Villa,Matchweek 14,1
Brentford,Newcastle Utd,Matchweek 15,4
Brentford,Chelsea,Matchweek 16,1
Brentford,Arsenal,Matchweek 19,1
Brentford,Southampton,Matchweek 20,5
Brentford,Manchester City,Matchweek 21,2
Brentford,Crystal Palace,Matchweek 23,2
Brentford,West Ham,Matchweek 25,1
Brentford,Leicester City,Matchweek 26,4
Brentford,Everton,Matchweek 27,1
Brentford,Bournemouth,Matchweek 29,2
Brentford,Southampton,Matchweek 3,3
Brentford,Newcastle Utd,Matchweek 30,1
Brentford,Arsenal,Matchweek 32,1
Brentford,Brighton,Matchweek 33,4
Brentford,Nott'ham Forest,Matchweek 34,2
Brentford,Manchester Utd,Matchweek 35,4
Brentford,Ipswich Town,Matchweek 36,1
Brentford,Fulham,Matchweek 37,2
Brentford,Wolves,Matchweek 38,1
Brentford,Manchester City,Matchweek 4,1
Brentford,Tottenham,Matchweek 5,1
Brentford,West Ham,Matchweek 6,1
Brentford,Wolves,Matchweek 7,5
Brentford,Manchester Utd,Matchweek 8,1
Brentford,Ipswich Town,Matchweek 9,4
Brighton,Everton,Matchweek 1,3
Brighton,Liverpool,Matchweek 10,1
Brighton,Manchester City,Matchweek 11,2
Brighton,Bournemouth,Matchweek 12,2
Brighton,Southampton,Matchweek 13,1
Brighton,Fulham,Matchweek 14,1
Brighton,Leicester City,Matchweek 15,2
Brighton,Crystal Palace,Matchweek 16,1
Brighton,West Ham,Matchweek 17,1
Brighton,Aston Villa,Matchweek 19,2
Brighton,Manchester Utd,Matchweek 2,2
Brighton,Arsenal,Matchweek 20,1
Brighton,Ipswich Town,Matchweek 21,2
Brighton,Manchester Utd,Matchweek 22,3
Brighton,Chelsea,Matchweek 25,3
Brighton,Southampton,Matchweek 26,4
Brighton,Bournemouth,Matchweek 27,2
Brighton,Fulham,Matchweek 28,2
Brighton,Manchester City,Matchweek 29,2
Brighton,Arsenal,Matchweek 3,1
Brighton,Crystal Palace,Matchweek 31,1
Brighton,Leicester City,Matchweek 32,2
Brighton,Brentford,Matchweek 33,2
Brighton,West Ham,Matchweek 34,3
Brighton,Newcastle Utd,Matchweek 35,1
Brighton,Wolves,Matchweek 36,2
Brighton,Liverpool,Matchweek 37,3
Brighton,Tottenham,Matchweek 38,4
Brighton,Nott'ham Forest,Matchweek 5,2
Brighton,Chelsea,Matchweek 6,2
Brighton,Tottenham,Matchweek 7,3
Brighton,Newcastle Utd,Matchweek 8,1
Brighton,Wolves,Matchweek 9,2
Chelsea,Manchester Utd,Matchweek 10,1
Chelsea,Arsenal,Matchweek 11,1
Chelsea,Leicester City,Matchweek 12,2
Chelsea,Aston Villa,Matchweek 13,3
Chelsea,Southampton,Matchweek 14,5
Chelsea,Tottenham,Matchweek 15,4
Chelsea,Brentford,Matchweek 16,2
Chelsea,Fulham,Matchweek 18,1
Chelsea,Wolves,Matchweek 2,6
Chelsea,Crystal Palace,Matchweek 20,1
Chelsea,Bournemouth,Matchweek 21,2
Chelsea,Wolves,Matchweek 22,3
Chelsea,Manchester City,Matchweek 23,1
Chelsea,West Ham,Matchweek 24,2
Chelsea,Aston Villa,Matchweek 26,1
Chelsea,Southampton,Matchweek 27,4
Chelsea,Leicester City,Matchweek 28,1
Chelsea,Crystal Palace,Matchweek 3,1
Chelsea,Tottenham,Matchweek 30,1
Chelsea,Ipswich Town,Matchweek 32,2
Chelsea,Fulham,Matchweek 33,2
Chelsea,Everton,Matchweek 34,1
Chelsea,Liverpool,Matchweek 35,3
Chelsea,Manchester Utd,Matchweek 37,1
Chelsea,Nott'ham Forest,Matchweek 38,1
Chelsea,Bournemouth,Matchweek 4,1
Chelsea,West Ham,Matchweek 5,3
Chelsea,Brighton,Matchweek 6,4
Chelsea,Nott'ham Forest,Matchweek 7,1
Chelsea,Liverpool,Matchweek 8,1
Chelsea,Newcastle Utd,Matchweek 9,2
Crystal Palace,Brentford,Matchweek 1,1
Crystal Palace,Wolves,Matchweek 10,2
Crystal Palace,Aston Villa,Matchweek 12,2
Crystal Palace,Newcastle Utd,Matchweek 13,1
Crystal Palace,Ipswich Town,Matchweek 14,1
Crystal Palace,Manchester City,Matchweek 15,2
Crystal Palace,Brighton,Matchweek 16,3
Crystal Palace,Arsenal,Matchweek 17,1
Crystal Palace,Southampton,Matchweek 19,2
Crystal Palace,Chelsea,Matchweek 20,1
Crystal Palace,Leicester City,Matchweek 21,2
Crystal Palace,West Ham,Matchweek 22,2
Crystal Palace,Brentford,Matchweek 23,1
Crystal Palace,Manchester Utd,Matchweek 24,2
Crystal Palace,Everton,Matchweek 25,1
Crystal Palace,Fulham,Matchweek 26,2
Crystal Palace,Aston Villa,Matchweek 27,4
Crystal Palace,Ipswich Town,Matchweek 28,1
Crystal Palace,Chelsea,Matchweek 3,1
Crystal Palace,Southampton,Matchweek 30,1
Crystal Palace,Brighton,Matchweek 31,2
Crystal Palace,Manchester City,Matchweek 32,2
Crystal Palace,Arsenal,Matchweek 34,2
Crystal Palace,Nott'ham Forest,Matchweek 35,1
Crystal Palace,Tottenham,Matchweek 36,2
Crystal Palace,Wolves,Matchweek 37,4
Crystal Palace,Liverpool,Matchweek 38,1
Crystal Palace,Leicester City,Matchweek 4,2
Crystal Palace,Everton,Matchweek 6,1
Crystal Palace,Tottenham,Matchweek 9,1
Everton,Wolves,Matchweek 14,4
Everton,Liverpool,Matchweek 15,2
Everton,Manchester City,Matchweek 18,1
Everton,Tottenham,Matchweek 22,3
Everton,Brighton,Matchweek 23,1
Everton,Leicester City,Matchweek 24,4
Everton,Crystal Palace,Matchweek 25,2
Everton,Manchester Utd,Matchweek 26,2
Everton,Brentford,Matchweek 27,1
Everton,Wolves,Matchweek 28,1
Everton,West Ham,Matchweek 29,1
Everton,Bournemouth,Matchweek 3,2
Everton,Arsenal,Matchweek 31,1
Everton,Nott'ham Forest,Matchweek 32,1
Everton,Ipswich Town,Matchweek 35,2
Everton,Fulham,Matchweek 36,3
Everton,Southampton,Matchweek 37,2
Everton,Newcastle Utd,Matchweek 38,1
Everton,Aston Villa,Matchweek 4,2
Everton,Leicester City,Matchweek 5,1
Everton,Crystal Palace,Matchweek 6,2
Everton,Ipswich Town,Matchweek 8,2
Everton,Fulham,Matchweek 9,1
Fulham,Brentford,Matchweek 10,2
Fulham,Crystal Palace,Matchweek 11,2
Fulham,Wolves,Matchweek 12,1
Fulham,Tottenham,Matchweek 13,1
Fulham,Brighton,Matchweek 14,3
Fulham,Arsenal,Matchweek 15,1
Fulham,Liverpool,Matchweek 16,2
Fulham,Chelsea,Matchweek 18,2
Fulham,Bournemouth,Matchweek 19,2
Fulham,Leicester City,Matchweek 2,2
Fulham,Ipswich Town,Matchweek 20,2
Fulham,West Ham,Matchweek 21,2
Fulham,Leicester City,Matchweek 22,2
Fulham,Newcastle Utd,Matchweek 24,2
Fulham,Nott'ham Forest,Matchweek 25,2
Fulham,Wolves,Matchweek 27,2
Fulham,Brighton,Matchweek 28,1
Fulham,Tottenham,Matchweek 29,2
Fulham,Ipswich Town,Matchweek 3,1
Fulham,Arsenal,Matchweek 30,1
Fulham,Liverpool,Matchweek 31,3
Fulham,Chelsea,Matchweek 33,1
Fulham,Southampton,Matchweek 34,2
Fulham,Everton,Matchweek 36,1
Fulham,Brentford,Matchweek 37,3
Fulham,West Ham,Matchweek 4,1
Fulham,Newcastle Utd,Matchweek 5,3
Fulham,Nott'ham Forest,Matchweek 6,1
Fulham,Manchester City,Matchweek 7,2
Fulham,Aston Villa,Matchweek 8,1
Fulham,Everton,Matchweek 9,1
Ipswich Town,Leicester City,Matchweek 10,1
Ipswich Town,Tottenham,Matchweek 11,2
Ipswich Town,Manchester Utd,Matchweek 12,1
Ipswich Town,Bournemouth,Matchweek 15,1
Ipswich Town,Wolves,Matchweek 16,2
Ipswich Town,Chelsea,Matchweek 19,2
Ipswich Town,Manchester City,Matchweek 2,1
Ipswich Town,Fulham,Matchweek 20,2
Ipswich Town,Liverpool,Matchweek 23,1
Ipswich Town,Southampton,Matchweek 24,1
Ipswich Town,Aston Villa,Matchweek 25,1
Ipswich Town,Tottenham,Matchweek 26,1
Ipswich Town,Manchester Utd,Matchweek 27,2
Ipswich Town,Nott'ham Forest,Matchweek 29,2
Ipswich Town,Fulham,Matchweek 3,1
Ipswich Town,Bournemouth,Matchweek 30,2
Ipswich Town,Wolves,Matchweek 31,1
Ipswich Town,Chelsea,Matchweek 32,2
Ipswich Town,Everton,Matchweek 35,2
Ipswich Town,West Ham,Matchweek 38,1
Ipswich Town,Southampton,Matchweek 5,1
Ipswich Town,Aston Villa,Matchweek 6,2
Ipswich Town,West Ham,Matchweek 7,1
Ipswich Town,Brentford,Matchweek 9,3
Leicester City,Tottenham,Matchweek 1,1
Leicester City,Ipswich Town,Matchweek 10,1
Leicester City,Chelsea,Matchweek 12,1
Leicester City,Brentford,Matchweek 13,1
Leicester City,West Ham,Matchweek 14,3
Leicester City,Brighton,Matchweek 15,2
Leicester City,Liverpool,Matchweek 18,1
Leicester City,Fulham,Matchweek 2,1
Leicester City,Aston Villa,Matchweek 20,1
Leicester City,Tottenham,Matchweek 23,2
Leicester City,Aston Villa,Matchweek 3,1
Leicester City,Brighton,Matchweek 32,2
Leicester City,Southampton,Matchweek 35,2
Leicester City,Nott'ham Forest,Matchweek 36,2
Leicester City,Ipswich Town,Matchweek 37,2
Leicester City,Crystal Palace,Matchweek 4,2
Leicester City,Everton,Matchweek 5,1
Leicester City,Arsenal,Matchweek 6,2
Leicester City,Bournemouth,Matchweek 7,1
Leicester City,Southampton,Matchweek 8,3
Leicester City,Nott'ham Forest,Matchweek 9,1
Liverpool,Ipswich Town,Matchweek 1,2
Liverpool,Brighton,Matchweek 10,2
Liverpool,Aston Villa,Matchweek 11,2
Liverpool,Southampton,Matchweek 12,3
Liverpool,Manchester City,Matchweek 13,2
Liverpool,Newcastle Utd,Matchweek 14,3
Liverpool,Everton,Matchweek 15,2
Liverpool,Fulham,Matchweek 16,2
Liverpool,Tottenham,Matchweek 17,6
Liverpool,Leicester City,Matchweek 18,3
Liverpool,West Ham,Matchweek 19,5
Liverpool,Brentford,Matchweek 2,2
Liverpool,Manchester Utd,Matchweek 20,2
Liverpool,Nott'ham Forest,Matchweek 21,1
Liverpool,Brentford,Matchweek 22,2
Liverpool,Ipswich Town,Matchweek 23,4
Liverpool,Bournemouth,Matchweek 24,2
Liverpool,Wolves,Matchweek 25,2
Liverpool,Manchester City,Matchweek 26,2
Liverpool,Newcastle Utd,Matchweek 27,2
Liverpool,Southampton,Matchweek 28,3
Liverpool,Aston Villa,Matchweek 29,2
Liverpool,Manchester Utd,Matchweek 3,3
Liverpool,Everton,Matchweek 30,1
Liverpool,Fulham,Matchweek 31,2
Liverpool,West Ham,Matchweek 32,2
Liverpool,Leicester City,Matchweek 33,1
Liverpool,Tottenham,Matchweek 34,5
Liverpool,Chelsea,Matchweek 35,1
Liverpool,Arsenal,Matchweek 36,2
Liverpool,Brighton,Matchweek 37,2
Liverpool,Crystal Palace,Matchweek 38,1
Liverpool,Bournemouth,Matchweek 5,3
Liverpool,Wolves,Matchweek 6,2
Liverpool,Crystal Palace,Matchweek 7,1
Liverpool,Chelsea,Matchweek 8,2
Liverpool,Arsenal,Matchweek 9,2
Manchester City,Chelsea,Matchweek 1,2
Manchester City,Bournemouth,Matchweek 10,1
Manchester City,Brighton,Matchweek 11,1
Manchester City,Nott'ham Forest,Matchweek 14,3
Manchester City,Crystal Palace,Matchweek 15,2
Manchester City,Manchester Utd,Matchweek 16,1
Manchester City,Aston Villa,Matchweek 17,1
Manchester City,Everton,Matchweek 18,1
Manchester City,Leicester City,Matchweek 19,2
Manchester City,Ipswich Town,Matchweek 2,4
Manchester City,West Ham,Matchweek 20,4
Manchester City,Brentford,Matchweek 21,2
Manchester City,Ipswich Town,Matchweek 22,6
Manchester City,Chelsea,Matchweek 23,3
Manchester City,Arsenal,Matchweek 24,1
Manchester City,Newcastle Utd,Matchweek 25,4
Manchester City,Tottenham,Matchweek 27,1
Manchester City,Brighton,Matchweek 29,2
Manchester City,West Ham,Matchweek 3,3
Manchester City,Leicester City,Matchweek 30,2
Manchester City,Crystal Palace,Matchweek 32,5
Manchester City,Everton,Matchweek 33,2
Manchester City,Aston Villa,Matchweek 34,2
Manchester City,Wolves,Matchweek 35,1
Manchester City,Bournemouth,Matchweek 37,3
Manchester City,Fulham,Matchweek 38,2
Manchester City,Brentford,Matchweek 4,2
Manchester City,Arsenal,Matchweek 5,2
Manchester City,Newcastle Utd,Matchweek 6,1
Manchester City,Fulham,Matchweek 7,3
Manchester City,Wolves,Matchweek 8,2
Manchester City,Southampton,Matchweek 9,1
Manchester Utd,Fulham,Matchweek 1,1
Manchester Utd,Chelsea,Matchweek 10,1
Manchester Utd,Leicester City,Matchweek 11,3
Manchester Utd,Ipswich Town,Matchweek 12,1
Manchester Utd,Everton,Matchweek 13,4
Manchester Utd,Nott'ham Forest,Matchweek 15,2
Manchester Utd,Manchester City,Matchweek 16,2
Manchester Utd,Brighton,Matchweek 2,1
Manchester Utd,Liverpool,Matchweek 20,2
Manchester Utd,Southampton,Matchweek 21,3
Manchester Utd,Brighton,Matchweek 22,1
Manchester Utd,Fulham,Matchweek 23,1
Manchester Utd,Everton,Matchweek 26,2
Manchester Utd,Ipswich Town,Matchweek 27,3
Manchester Utd,Arsenal,Matchweek 28,1
Manchester Utd,Leicester City,Matchweek 29,3
Manchester Utd,Newcastle Utd,Matchweek 32,1
Manchester Utd,Bournemouth,Matchweek 34,1
Manchester Utd,Brentford,Matchweek 35,3
Manchester Utd,Aston Villa,Matchweek 38,2
Manchester Utd,Southampton,Matchweek 4,3
Manchester Utd,Brentford,Matchweek 8,2
Manchester Utd,West Ham,Matchweek 9,1
Newcastle,Southampton,Matchweek 1,1
Newcastle,Arsenal,Matchweek 10,1
Newcastle,Nott'ham Forest,Matchweek 11,3
Newcastle,Crystal Palace,Matchweek 13,1
Newcastle,Liverpool,Matchweek 14,3
Newcastle,Brentford,Matchweek 15,2
Newcastle,Leicester City,Matchweek 16,4
Newcastle,Ipswich Town,Matchweek 17,4
Newcastle,Aston Villa,Matchweek 18,3
Newcastle,Manchester Utd,Matchweek 19,2
Newcastle,Bournemouth,Matchweek 2,1
Newcastle,Tottenham,Matchweek 20,2
Newcastle,Wolves,Matchweek 21,3
Newcastle,Bournemouth,Matchweek 22,1
Newcastle,Southampton,Matchweek 23,3
Newcastle,Fulham,Matchweek 24,1
Newcastle,Nott'ham Forest,Matchweek 26,4
Newcastle,West Ham,Matchweek 28,1
Newcastle,Crystal Palace,Matchweek 29,5
Newcastle,Tottenham,Matchweek 3,2
Newcastle,Brentford,Matchweek 30,2
Newcastle,Leicester City,Matchweek 31,3
Newcastle,Manchester Utd,Matchweek 32,4
Newcastle,Aston Villa,Matchweek 33,1
Newcastle,Ipswich Town,Matchweek 34,3
Newcastle,Brighton,Matchweek 35,1
Newcastle,Chelsea,Matchweek 36,2
Newcastle,Wolves,Matchweek 4,2
Newcastle,Fulham,Matchweek 5,1
Newcastle,Manchester City,Matchweek 6,1
Newcastle,Chelsea,Matchweek 9,1
Nott'ham Forest,Bournemouth,Matchweek 1,1
Nott'ham Forest,West Ham,Matchweek 10,3
Nott'ham Forest,Newcastle Utd,Matchweek 11,1
Nott'ham Forest,Ipswich Town,Matchweek 13,1
Nott'ham Forest,Manchester Utd,Matchweek 15,3
Nott'ham Forest,Aston Villa,Matchweek 16,2
Nott'ham Forest,Brentford,Matchweek 17,2
Nott'ham Forest,Tottenham,Matchweek 18,1
Nott'ham Forest,Everton,Matchweek 19,2
Nott'ham Forest,Southampton,Matchweek 2,1
Nott'ham Forest,Wolves,Matchweek 20,3
Nott'ham Forest,Liverpool,Matchweek 21,1
Nott'ham Forest,Southampton,Matchweek 22,3
Nott'ham Forest,Brighton,Matchweek 24,7
Nott'ham Forest,Fulham,Matchweek 25,1
Nott'ham Forest,Newcastle Utd,Matchweek 26,3
Nott'ham Forest,Manchester City,Matchweek 28,1
Nott'ham Forest,Ipswich Town,Matchweek 29,4
Nott'ham Forest,Wolves,Matchweek 3,1
Nott'ham Forest,Manchester Utd,Matchweek 30,1
Nott'ham Forest,Aston Villa,Matchweek 31,1
Nott'ham Forest,Tottenham,Matchweek 33,2
Nott'ham Forest,Crystal Palace,Matchweek 35,1
Nott'ham Forest,Leicester City,Matchweek 36,2
Nott'ham Forest,West Ham,Matchweek 37,2
Nott'ham Forest,Liverpool,Matchweek 4,1
Nott'ham Forest,Brighton,Matchweek 5,2
Nott'ham Forest,Chelsea,Matchweek 7,1
Nott'ham Forest,Crystal Palace,Matchweek 8,1
Nott'ham Forest,Leicester City,Matchweek 9,3
Southampton,Everton,Matchweek 10,1
Southampton,Liverpool,Matchweek 12,2
Southampton,Brighton,Matchweek 13,1
Southampton,Chelsea,Matchweek 14,1
Southampton,Crystal Palace,Matchweek 19,1
Southampton,Manchester Utd,Matchweek 21,1
Southampton,Nott'ham Forest,Matchweek 22,2
Southampton,Newcastle Utd,Matchweek 23,1
Southampton,Ipswich Town,Matchweek 24,2
Southampton,Bournemouth,Matchweek 25,1
Southampton,Liverpool,Matchweek 28,1
Southampton,Wolves,Matchweek 29,1
Southampton,Brentford,Matchweek 3,1
Southampton,Crystal Palace,Matchweek 30,1
Southampton,Tottenham,Matchweek 31,1
Southampton,West Ham,Matchweek 33,1
Southampton,Fulham,Matchweek 34,1
Southampton,Arsenal,Matchweek 38,1
Southampton,Ipswich Town,Matchweek 5,1
Southampton,Bournemouth,Matchweek 6,1
Southampton,Arsenal,Matchweek 7,1
Southampton,Leicester City,Matchweek 8,2
Tottenham,Leicester City,Matchweek 1,1
Tottenham,Aston Villa,Matchweek 10,4
Tottenham,Ipswich Town,Matchweek 11,1
Tottenham,Manchester City,Matchweek 12,4
Tottenham,Fulham,Matchweek 13,1
Tottenham,Chelsea,Matchweek 15,3
Tottenham,Southampton,Matchweek 16,5
Tottenham,Liverpool,Matchweek 17,3
Tottenham,Wolves,Matchweek 19,2
Tottenham,Everton,Matchweek 2,4
Tottenham,Newcastle Utd,Matchweek 20,1
Tottenham,Arsenal,Matchweek 21,1
Tottenham,Everton,Matchweek 22,2
Tottenham,Leicester City,Matchweek 23,1
Tottenham,Brentford,Matchweek 24,2
Tottenham,Manchester Utd,Matchweek 25,1
Tottenham,Ipswich Town,Matchweek 26,4
Tottenham,Bournemouth,Matchweek 28,2
Tottenham,Newcastle Utd,Matchweek 3,1
Tottenham,Southampton,Matchweek 31,3
Tottenham,Wolves,Matchweek 32,2
Tottenham,Nott'ham Forest,Matchweek 33,1
Tottenham,Liverpool,Matchweek 34,1
Tottenham,West Ham,Matchweek 35,1
Tottenham,Brighton,Matchweek 38,1
Tottenham,Brentford,Matchweek 5,3
Tottenham,Manchester Utd,Matchweek 6,3
Tottenham,Brighton,Matchweek 7,2
Tottenham,West Ham,Matchweek 8,4
West Ham,Aston Villa,Matchweek 1,1
West Ham,Newcastle Utd,Matchweek 12,2
West Ham,Arsenal,Matchweek 13,2
West Ham,Leicester City,Matchweek 14,1
West Ham,Wolves,Matchweek 15,2
West Ham,Bournemouth,Matchweek 16,1
West Ham,Brighton,Matchweek 17,1
West Ham,Southampton,Matchweek 18,1
West Ham,Crystal Palace,Matchweek 2,2
West Ham,Manchester City,Matchweek 20,1
West Ham,Fulham,Matchweek 21,3
West Ham,Aston Villa,Matchweek 23,1
West Ham,Chelsea,Matchweek 24,1
West Ham,Arsenal,Matchweek 26,1
West Ham,Leicester City,Matchweek 27,2
West Ham,Everton,Matchweek 29,1
West Ham,Manchester City,Matchweek 3,1
West Ham,Bournemouth,Matchweek 31,2
West Ham,Liverpool,Matchweek 32,1
West Ham,Southampton,Matchweek 33,1
West Ham,Brighton,Matchweek 34,2
West Ham,Tottenham,Matchweek 35,1
West Ham,Manchester Utd,Matchweek 36,2
West Ham,Nott'ham Forest,Matchweek 37,1
West Ham,Ipswich Town,Matchweek 38,3
West Ham,Fulham,Matchweek 4,1
West Ham,Brentford,Matchweek 6,1
West Ham,Ipswich Town,Matchweek 7,4
West Ham,Tottenham,Matchweek 8,1
West Ham,Manchester Utd,Matchweek 9,2
Wolves,Crystal Palace,Matchweek 10,2
Wolves,Southampton,Matchweek 11,2
Wolves,Fulham,Matchweek 12,4
Wolves,Bournemouth,Matchweek 13,2
Wolves,West Ham,Matchweek 15,1
Wolves,Ipswich Town,Matchweek 16,1
Wolves,Leicester City,Matchweek 17,3
Wolves,Manchester Utd,Matchweek 18,2
Wolves,Tottenham,Matchweek 19,2
Wolves,Chelsea,Matchweek 2,2
Wolves,Chelsea,Matchweek 22,1
Wolves,Aston Villa,Matchweek 24,2
Wolves,Liverpool,Matchweek 25,1
Wolves,Bournemouth,Matchweek 26,1
Wolves,Fulham,Matchweek 27,1
Wolves,Everton,Matchweek 28,1
Wolves,Southampton,Matchweek 29,2
Wolves,Nott'ham Forest,Matchweek 3,1
Wolves,West Ham,Matchweek 30,1
Wolves,Ipswich Town,Matchweek 31,2
Wolves,Tottenham,Matchweek 32,4
Wolves,Manchester Utd,Matchweek 33,1
Wolves,Leicester City,Matchweek 34,3
Wolves,Crystal Palace,Matchweek 37,2
Wolves,Brentford,Matchweek 38,1
Wolves,Newcastle Utd,Matchweek 4,1
Wolves,Aston Villa,Matchweek 5,1
Wolves,Liverpool,Matchweek 6,1
Wolves,Brentford,Matchweek 7,3
Wolves,Manchester City,Matchweek 8,1
Wolves,Brighton,Matchweek 9,2
